cart_id,user_id,status,category,cart_value,device
1,960,completed,electronics,463,desktop
2,3872,completed,electronics,123,desktop
3,3192,completed,books,282,mobile
4,566,abandoned,electronics,273,desktop
5,4526,abandoned,clothing,368,mobile
6,3544,completed,clothing,461,mobile
7,3271,completed,books,109,mobile
8,3019,abandoned,clothing,384,desktop
9,230,completed,home,271,desktop
10,1785,abandoned,clothing,86,desktop
11,869,abandoned,clothing,327,mobile
12,2491,completed,electronics,245,mobile
13,2533,completed,electronics,453,mobile
14,1284,abandoned,clothing,401,mobile
15,4655,completed,books,291,mobile
16,3485,completed,electronics,373,mobile
17,4217,abandoned,books,268,desktop
18,4943,abandoned,clothing,241,mobile
19,3004,abandoned,clothing,66,desktop
20,574,abandoned,home,61,desktop
21,1182,completed,electronics,455,mobile
22,2658,completed,clothing,450,desktop
23,2147,abandoned,home,443,mobile
24,2847,abandoned,electronics,423,mobile
25,1075,completed,clothing,242,mobile
26,1906,abandoned,clothing,71,desktop
27,289,completed,electronics,169,mobile
28,2834,abandoned,electronics,259,mobile
29,3105,completed,electronics,355,mobile
30,4758,abandoned,clothing,319,mobile
31,1999,completed,clothing,241,desktop
32,1367,completed,home,224,mobile
33,1628,completed,books,334,desktop
34,3302,abandoned,electronics,253,mobile
35,3656,abandoned,clothing,213,mobile
36,3990,abandoned,clothing,300,mobile
37,746,abandoned,electronics,276,mobile
38,2988,completed,books,485,mobile
39,2535,completed,electronics,430,mobile
40,700,abandoned,books,56,mobile
41,2463,completed,clothing,78,mobile
42,2161,abandoned,books,444,desktop
43,341,completed,home,82,desktop
44,2141,abandoned,clothing,183,mobile
45,2924,completed,home,416,desktop
46,2712,abandoned,electronics,128,mobile
47,1463,abandoned,electronics,465,desktop
48,1578,abandoned,electronics,484,mobile
49,2656,completed,books,107,mobile
50,875,abandoned,clothing,75,mobile
51,4114,abandoned,electronics,479,mobile
52,134,abandoned,electronics,275,mobile
53,3252,abandoned,clothing,334,mobile
54,2055,abandoned,electronics,53,mobile
55,1685,abandoned,home,148,desktop
56,4043,abandoned,clothing,446,mobile
57,3173,abandoned,clothing,88,mobile
58,1121,abandoned,clothing,320,desktop
59,3561,completed,home,424,desktop
60,2713,completed,clothing,334,mobile
61,3943,abandoned,home,206,desktop
62,1600,abandoned,clothing,124,desktop
63,4898,abandoned,books,421,mobile
64,261,abandoned,electronics,337,mobile
65,4397,completed,books,179,mobile
66,2081,completed,electronics,224,mobile
67,1095,abandoned,home,133,mobile
68,3442,completed,books,71,mobile
69,4651,abandoned,clothing,76,desktop
70,3898,completed,electronics,244,mobile
71,1375,abandoned,electronics,386,desktop
72,1116,abandoned,books,431,mobile
73,437,abandoned,home,285,mobile
74,978,abandoned,books,489,mobile
75,1176,completed,home,141,desktop
76,4987,abandoned,home,70,mobile
77,4093,abandoned,electronics,352,mobile
78,4959,completed,books,406,desktop
79,479,abandoned,books,492,desktop
80,592,abandoned,home,133,mobile
81,2162,abandoned,books,311,desktop
82,3984,abandoned,clothing,196,mobile
83,164,abandoned,clothing,490,mobile
84,2668,completed,books,436,desktop
85,2127,abandoned,books,306,mobile
86,2795,abandoned,home,107,desktop
87,1595,completed,clothing,429,mobile
88,491,completed,clothing,471,desktop
89,4614,completed,electronics,64,desktop
90,4574,abandoned,home,211,mobile
91,3661,abandoned,electronics,494,mobile
92,2378,completed,clothing,212,mobile
93,3199,abandoned,home,369,mobile
94,300,completed,books,330,mobile
95,4975,abandoned,home,329,desktop
96,3204,abandoned,books,61,desktop
97,4698,abandoned,books,323,mobile
98,2554,abandoned,home,320,mobile
99,3745,completed,books,257,mobile
100,904,completed,electronics,76,desktop
101,2831,completed,clothing,121,desktop
102,2873,abandoned,books,109,mobile
103,1670,abandoned,electronics,479,mobile
104,2790,abandoned,books,194,mobile
105,3940,abandoned,clothing,142,mobile
106,1128,abandoned,electronics,358,mobile
107,602,abandoned,clothing,57,desktop
108,4593,abandoned,clothing,128,mobile
109,970,abandoned,electronics,76,desktop
110,4588,completed,electronics,223,desktop
111,306,abandoned,electronics,99,mobile
112,1584,completed,home,248,mobile
113,963,abandoned,electronics,436,mobile
114,2890,abandoned,electronics,398,desktop
115,663,completed,electronics,497,desktop
116,4291,abandoned,electronics,477,desktop
117,1857,abandoned,books,230,desktop
118,1778,completed,home,73,mobile
119,3342,completed,clothing,365,desktop
120,4736,abandoned,electronics,427,mobile
121,1159,abandoned,books,436,desktop
122,1822,abandoned,books,453,desktop
123,3414,abandoned,books,95,desktop
124,3257,abandoned,clothing,64,mobile
125,2725,abandoned,electronics,202,mobile
126,2829,abandoned,home,271,mobile
127,1697,abandoned,home,255,mobile
128,3160,completed,books,322,mobile
129,2793,completed,clothing,431,desktop
130,4991,completed,clothing,285,desktop
131,3727,abandoned,clothing,389,mobile
132,1463,abandoned,home,277,mobile
133,2081,abandoned,books,58,desktop
134,1763,completed,electronics,215,mobile
135,1629,completed,home,481,mobile
136,2138,completed,books,493,desktop
137,3402,completed,books,368,mobile
138,2337,abandoned,electronics,263,mobile
139,1406,completed,electronics,166,mobile
140,4129,completed,electronics,435,desktop
141,2775,abandoned,clothing,393,desktop
142,1382,completed,electronics,121,mobile
143,809,abandoned,books,444,mobile
144,4844,abandoned,electronics,113,mobile
145,4513,completed,books,254,mobile
146,3848,abandoned,home,258,desktop
147,4879,abandoned,clothing,121,mobile
148,763,abandoned,home,326,desktop
149,2098,completed,home,323,mobile
150,3545,abandoned,books,369,mobile
151,3843,abandoned,home,387,desktop
152,1595,completed,books,415,mobile
153,3404,abandoned,electronics,144,desktop
154,3863,abandoned,electronics,215,desktop
155,1953,abandoned,books,81,desktop
156,4759,completed,electronics,60,desktop
157,1391,abandoned,clothing,350,mobile
158,3681,completed,home,266,mobile
159,3557,completed,clothing,338,desktop
160,1736,completed,home,151,mobile
